# time, vdd, inp, inn, out
1.100000000000000039e-04,1.090000000000000080e+00,6.199999999999999956e-01,1.000000000000000021e-02,1.087110444848414126e+00
1.102432086925386273e-04,1.086351869611920762e+00,6.114876957611481423e-01,2.799744324785811284e-02,1.086311343233238969e+00
1.107296260776158742e-04,1.079055608835762126e+00,5.944630872834445467e-01,6.399232974357432768e-02,1.082217797625157241e+00
1.117024608477703543e-04,1.064463087283444853e+00,5.604138703280377998e-01,1.359821027350057721e-01,1.068449435622604193e+00
1.136481303880793145e-04,1.035278044178810530e+00,4.923154364172243058e-01,2.799616487178686608e-01,1.039190722569140579e+00
1.168302069921662776e-04,9.875468951175061516e-01,3.809427552741807554e-01,5.154353174203035737e-01,7.292395607071940900e-01
1.200000000000000166e-04,9.400000000000000577e-01,2.700000000000000178e-01,7.500000000000000000e-01,1.484177216245814446e-01
1.202833765751962241e-04,9.289483135673479719e-01,2.940870088916776592e-01,7.505667531503924517e-01,1.004389424921538765e-01
1.208501297255886256e-04,9.068449407020442443e-01,3.422610266750317765e-01,7.517002594511772440e-01,4.994687463245150311e-02
1.216640563799581762e-04,8.751018011816318332e-01,4.114447922964435955e-01,7.533281127599162907e-01,8.226158775339224849e-02
1.222726749614283395e-04,8.513656765042953989e-01,4.631773717214074937e-01,7.545453499228566008e-01,1.259254389293698595e-01
1.229716862980495442e-04,8.241042343760685007e-01,5.225933353342099297e-01,7.559433725960991168e-01,1.698150739332477677e-01
1.241857831919512790e-04,7.767544555139007656e-01,6.257915713158573867e-01,7.583715663839025733e-01,2.517246380947851803e-01
1.259152425807689925e-04,7.093055393500099504e-01,7.727956193653631178e-01,7.618304851615379514e-01,3.081602572253049344e-01
1.278692798157264620e-04,6.330980871866687121e-01,9.388887843367480501e-01,7.657385596314528753e-01,2.575128893304676203e-01
1.299187089152504756e-04,5.531703523052320381e-01,1.113090257796289340e+00,7.698374178305009696e-01,1.941363787378538597e-01
1.300000000000000157e-04,5.500000000000000444e-01,1.120000000000000107e+00,7.700000000000000178e-01,1.933875397207355240e-01
1.300557700382839110e-04,5.500000000000000444e-01,1.115426856860720628e+00,7.688845992343220637e-01,1.926936909825893163e-01
1.301673101148516744e-04,5.500000000000000444e-01,1.106280570582164113e+00,7.666537977029668216e-01,1.911899458238397742e-01
1.303903902679872284e-04,5.500000000000000444e-01,1.087987998025048642e+00,7.621921946402557824e-01,1.877078731276121404e-01
1.308365505742583364e-04,5.500000000000000444e-01,1.051402852910817698e+00,7.532689885148335929e-01,1.802600885297596933e-01
1.317288711868005253e-04,5.500000000000000444e-01,9.782325626823579201e-01,7.354225762639897690e-01,1.678003287195272419e-01
1.335135124118849302e-04,5.500000000000000444e-01,8.318919822254362550e-01,6.997297517623015661e-01,1.549164616429352381e-01
1.363209070119352807e-04,5.500000000000000444e-01,6.016856250213068469e-01,6.435818597612943393e-01,1.480580873937370479e-01
1.388219611094418339e-04,5.500000000000000444e-01,3.965991890257689612e-01,5.935607778111632316e-01,9.108701696149937299e-02
1.399999999999999877e-04,5.500000000000000444e-01,3.000000000000000444e-01,5.700000000000000622e-01,3.399220195956976359e-02
1.400657212470305052e-04,5.501314424940610959e-01,3.032860623515259424e-01,5.679626413420539865e-01,3.165625814563428203e-02
1.401971637410915131e-04,5.503943274821830878e-01,3.098581870545762951e-01,5.638879240261627235e-01,2.898963345034990743e-02
1.404600487292135560e-04,5.509200974584271826e-01,3.230024364606784437e-01,5.557384893943794202e-01,3.111610748691910969e-02
1.408215407467987778e-04,5.516430814935976423e-01,3.410770373399395483e-01,5.445322368492375720e-01,3.989375887514676894e-02
1.412117022982715942e-04,5.524234045965432660e-01,3.605851149135803624e-01,5.324372287535802384e-01,5.137473675638246084e-02
1.419783986902781268e-04,5.539567973805563650e-01,3.989199345139070041e-01,5.086696406013777594e-01,7.784368208163484903e-02
1.435117914742911919e-04,5.570235829485824519e-01,4.755895737145602320e-01,4.611344642969726904e-01,1.396199398616989606e-01
1.456538174027783401e-04,5.613076348055567877e-01,5.826908701389177381e-01,3.947316605138710965e-01,3.346679221209264976e-01
1.479244405668043267e-04,5.658488811336087609e-01,6.962220283402169585e-01,3.243423424290655110e-01,5.477224489688368170e-01
1.499999999999999869e-04,5.700000000000000622e-01,8.000000000000000444e-01,2.600000000000000089e-01,5.760833792657240604e-01
1.501897734589410002e-04,5.789193525702276411e-01,7.861465374973061193e-01,2.761307440099861066e-01,5.770549210946437357e-01
1.505693203768230268e-04,5.967580577106829098e-01,7.584396124919182691e-01,3.083922320299583020e-01,5.848360116463541258e-01
1.513284142125870800e-04,6.324354679915932254e-01,7.030257624811424577e-01,3.729152080699026373e-01,6.163620497016850663e-01
1.526999153101855650e-04,6.968960195787219369e-01,6.029061823564533240e-01,4.894928013657735555e-01,6.768886986368430891e-01
1.540055501719878018e-04,7.582608580834269141e-01,5.075948374448903122e-01,6.004717646189634550e-01,6.020583697502812637e-01
1.554161278565473886e-04,8.245580092577272646e-01,4.046226664720407040e-01,7.203708678065280369e-01,3.520251142229112729e-01
1.566622659784001512e-04,8.831265009848069392e-01,3.136545835767893253e-01,8.262926081640125098e-01,1.256481983736923158e-01
1.578329389074645012e-04,9.381481286508313033e-01,2.281954597550920338e-01,9.257998071344820668e-01,2.379198343621139952e-02
1.589718999832369080e-04,9.916792992121341577e-01,1.450513012237065746e-01,1.022611498575136224e+00,3.016433548574927459e-02
1.597180970878043669e-04,1.026750563126804794e+00,9.057891259028216790e-02,1.086038252463370268e+00,4.913890946814874344e-02
1.600000000000000131e-04,1.040000000000000036e+00,7.000000000000000666e-02,1.110000000000000098e+00,5.912810553177936385e-02
1.600756040150131104e-04,1.034858926979109528e+00,7.521667703590372012e-02,1.104102886828978614e+00,6.109668775254658429e-02
1.602268120450392778e-04,1.024576780937330067e+00,8.565003110770927353e-02,1.092308660486937422e+00,6.362369793421514264e-02
1.605292281050916398e-04,1.004012488853769369e+00,1.065167392513222400e-01,1.068720207802853261e+00,6.233561671496807427e-02
1.611340602251963637e-04,9.628839046866481954e-01,1.482501555385482006e-01,1.021543302434684719e+00,4.763641372727393103e-02
1.617501943964393769e-04,9.209867810421232814e-01,1.907634133543161248e-01,9.734848370777297033e-01,3.085931775806827551e-02
1.624589383397100865e-04,8.727921928997149914e-01,2.396667454399950825e-01,9.182028095026143477e-01,2.236020814889698102e-02
1.631715503876049987e-04,8.243345736428610016e-01,2.888369767447440672e-01,8.626190697668112417e-01,2.605895218361862359e-02
